cell,row,column,crate,slot,chan,bin,txfiber,txch,rxrocid,rxfiber,rxch
34,2,10,SBS_ECALVTP1_ROCID,5,2,3,-1,-1,None,-1,-1
35,2,11,SBS_ECALVTP1_ROCID,5,3,3,-1,-1,None,-1,-1
36,3,1,SBS_ECALVTP1_ROCID,5,4,4,-1,-1,None,-1,-1
37,3,2,SBS_ECALVTP1_ROCID,5,5,4,-1,-1,None,-1,-1
38,3,3,SBS_ECALVTP1_ROCID,5,6,5,-1,-1,None,-1,-1
39,3,4,SBS_ECALVTP1_ROCID,5,7,5,-1,-1,None,-1,-1
40,3,5,SBS_ECALVTP1_ROCID,5,8,5,-1,-1,None,-1,-1
41,3,6,SBS_ECALVTP1_ROCID,5,9,6,-1,-1,None,-1,-1
42,3,7,SBS_ECALVTP1_ROCID,5,10,6,-1,-1,None,-1,-1
43,3,8,SBS_ECALVTP1_ROCID,5,11,6,-1,-1,None,-1,-1
44,3,9,SBS_ECALVTP1_ROCID,5,12,7,-1,-1,None,-1,-1
45,3,10,SBS_ECALVTP1_ROCID,5,13,7,-1,-1,None,-1,-1
46,3,11,SBS_ECALVTP1_ROCID,5,14,7,-1,-1,None,-1,-1
47,3,12,SBS_ECALVTP1_ROCID,5,15,8,-1,-1,None,-1,-1
48,3,13,SBS_ECALVTP1_ROCID,6,0,8,-1,-1,None,-1,-1
49,3,14,SBS_ECALVTP1_ROCID,6,1,8,-1,-1,None,-1,-1
50,3,15,SBS_ECALVTP1_ROCID,6,2,9,-1,-1,None,-1,-1
51,3,16,SBS_ECALVTP1_ROCID,6,3,9,-1,-1,None,-1,-1
52,3,17,SBS_ECALVTP1_ROCID,6,4,9,-1,-1,None,-1,-1
53,3,18,SBS_ECALVTP1_ROCID,6,5,10,-1,-1,None,-1,-1
54,4,1,SBS_ECALVTP1_ROCID,6,6,4,-1,-1,None,-1,-1
55,4,2,SBS_ECALVTP1_ROCID,6,7,4,-1,-1,None,-1,-1
56,4,3,SBS_ECALVTP1_ROCID,6,8,5,-1,-1,None,-1,-1
