,row,col,cluster_cell_list
0,21,2,"(441, -1, 387, 388, -1, 414, 415, -1, 442, -1, 468, 469, -1, 495, 496)"
1,21,3,"(442, 387, 388, 389, 414, 415, 416, 441, 443, 468, 469, 470, 495, 496, 497)"
2,21,4,"(443, 388, 389, 390, 415, 416, 417, 442, 444, 469, 470, 471, 496, 497, 498)"
3,21,5,"(444, 389, 390, 391, 416, 417, 418, 443, 445, 470, 471, 472, 497, 498, 499)"
4,21,6,"(445, 390, 391, 392, 417, 418, 419, 444, 446, 471, 472, 473, 498, 499, 500)"
5,21,7,"(446, 391, 392, 393, 418, 419, 420, 445, 447, 472, 473, 474, 499, 500, 501)"
6,21,8,"(447, 392, 393, 394, 419, 420, 421, 446, 448, 473, 474, 475, 500, 501, 502)"
7,21,9,"(448, 393, 394, 395, 420, 421, 422, 447, 449, 474, 475, 476, 501, 502, 503)"
8,21,10,"(449, 394, 395, 396, 421, 422, 423, 448, 450, 475, 476, 477, 502, 503, 504)"
9,21,11,"(450, 395, 396, 397, 422, 423, 424, 449, 451, 476, 477, 478, 503, 504, 505)"
10,21,12,"(451, 396, 397, 398, 423, 424, 425, 450, 452, 477, 478, 479, 504, 505, 506)"
11,21,13,"(452, 397, 398, 399, 424, 425, 426, 451, 453, 478, 479, 480, 505, 506, 507)"
12,21,14,"(453, 398, 399, 400, 425, 426, 427, 452, 454, 479, 480, 481, 506, 507, 508)"
13,21,15,"(454, 399, 400, 401, 426, 427, 428, 453, 455, 480, 481, 482, 507, 508, 509)"
14,21,16,"(455, 400, 401, 402, 427, 428, 429, 454, 456, 481, 482, 483, 508, 509, 510)"
15,21,17,"(456, 401, 402, 403, 428, 429, 430, 455, 457, 482, 483, 484, 509, 510, 511)"
16,21,18,"(457, 402, 403, 404, 429, 430, 431, 456, 458, 483, 484, 485, 510, 511, 512)"
17,21,19,"(458, 403, 404, 405, 430, 431, 432, 457, 459, 484, 485, 486, 511, 512, 513)"
18,21,20,"(459, 404, 405, 406, 431, 432, 433, 458, 460, 485, 486, 487, 512, 513, 514)"
19,21,21,"(460, 405, 406, 407, 432, 433, 434, 459, 461, 486, 487, 488, 513, 514, 515)"
20,21,22,"(461, 406, 407, 408, 433, 434, 435, 460, 462, 487, 488, 489, 514, 515, 516)"
